,Name_ID,Ratting_,Ratting_Date_,Titles_,Review_Text
26,Jawed Hussain Shah,4.0 out of 5 stars,Reviewed in India on 24 May 2024,"4.0 out of 5 stars
I is good airpod
","
It is very good airpod I buy and use from 1 year, i like it's sound quality, rate, noise cancellation and many more, but one thing I want to say, while I put on the airpod It is loose from ear or fall like while I smile or talk it can be loose
"
27,hemanth chowdary,4.0 out of 5 stars,Reviewed in India on 23 June 2024,"4.0 out of 5 stars
Quality
","
Gud quality
"
28,Ravi Jhunjhunwala,4.0 out of 5 stars,Reviewed in India on 18 June 2024,"4.0 out of 5 stars
value for money
","
personal use
"
29,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 14 June 2024,"4.0 out of 5 stars
Satisfactory
","
Satisfactory.
"
30,Manjunath B.,4.0 out of 5 stars,Reviewed in India on 13 June 2024,"4.0 out of 5 stars
The Bolt
","
User friendly and smooth nice sounds makes
"
31,Vivek,4.0 out of 5 stars,Reviewed in India on 11 June 2024,"4.0 out of 5 stars
Good product not best
","
In this price tag sound quality and overall Proformance is very good, There should be some key chain
"
32,sagar more,4.0 out of 5 stars,Reviewed in India on 12 June 2024,"4.0 out of 5 stars
Good
","
Good
"
33,Jahnavi reddy,4.0 out of 5 stars,Reviewed in India on 11 June 2024,"4.0 out of 5 stars
Good product
","
Value for money
"
34,pritish,4.0 out of 5 stars,Reviewed in India on 31 May 2024,"4.0 out of 5 stars
Nice service
","
I faced some issues so I got replacement after 11 months of using. A nice product also.
"
35,Aditya Dhiman,4.0 out of 5 stars,Reviewed in India on 28 May 2024,"4.0 out of 5 stars
Nice product
","
It is very comfortableSound quality is bestIt is worth full product about stability quality clarity and fit
"
36,Sourashis Ghosh Roy,5.0 out of 5 stars,Reviewed in India on 27 October 2023,"5.0 out of 5 stars
Better than most EarBuds?
","
I recently had the opportunity to test and review the boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones, and I must say, they offer an impressive audio experience.Here's my detailed review:Design and Build Quality:The boAt Airdopes 141 feature a stylish and ergonomic design that fits comfortably in the ears. The earbuds are lightweight and come with different sizes of ear tips, ensuring a secure and personalized fit for all users. The Cyan Cider color variant adds a touch of vibrancy to the overall design. The IPX4 water resistance rating makes them suitable for workouts and light rain, providing peace of mind during outdoor activities.Sound Quality:The sound quality of the boAt Airdopes 141 is exceptional. The earbuds deliver immersive audio with clear vocals, well-defined mids, and punchy bass. Whether you're listening to music, watching movies, or gaming, the Airdopes 141 provide a rich and detailed sound experience. The low latency mode specifically designed for gaming ensures minimal audio lag, enhancing your gaming sessions.Battery Life and Charging:One of the standout features of the boAt Airdopes 141 is the impressive 45-hour playtime. With the charging case, you can enjoy extended hours of uninterrupted music playback. The earbuds themselves offer up to 5 hours of continuous playback on a single charge. The charging case supports USB Type-C fast charging, allowing for quick and convenient charging.Connectivity and Controls:The Airdopes 141 offer seamless Bluetooth connectivity, ensuring a stable and reliable connection with your device. The smooth touch controls on the earbuds are intuitive and responsive, allowing you to control music playback, answer calls, and activate voice assistants with ease. The Instant Wake N' Pair (IWP) technology ensures hassle-free pairing with your device as soon as you open the case.ENx Technology:The inclusion of ENx (Environmental Noise Cancellation) technology in the boAt Airdopes 141 enhances the overall audio experience. It helps reduce background noise, allowing you to enjoy your music or calls without distractions.Room for Improvement:While the boAt Airdopes 141 offer an overall excellent experience, there are a few areas that could be improved. The IPX4 water resistance rating, while suitable for light rain and workouts, may not be sufficient for heavy rain or water submersion. Additionally, some users may find the touch controls slightly sensitive, leading to accidental commands.Conclusion:In conclusion, the boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with their impressive 45-hour playtime, low latency mode for gaming, ENx tech, and IPX4 water resistance are a great choice for those seeking a high-quality audio experience. The sleek design, comfortable fit, and smooth touch controls make them a compelling option in the market. With a few minor improvements, the boAt Airdopes 141 could easily become a top contender in the truly wireless earbuds segment.I hope you find this review helpful in making an informed decision. If you have any further questions, feel free to ask!
"
37,Shreya,4.0 out of 5 stars,Reviewed in India on 6 June 2024,"4.0 out of 5 stars
Left earphone gets malfunctioning... happened thrice now
","
Left earphone gets malfunctioning... happened thrice now
"
38,Gurnivaaz,4.0 out of 5 stars,Reviewed in India on 26 May 2024,"4.0 out of 5 stars
Connectivity
","
Overall the product is quite satisfactory, a good battery, however do consider turning off bluetooth from one device if you want to connect the pods with other device.Thanku
"
39,Basireddythirumalareddy,4.0 out of 5 stars,Reviewed in India on 8 June 2024,"4.0 out of 5 stars
Good
","
Easy to use
"
40,Anonymous,4.0 out of 5 stars,Reviewed in India on 5 June 2024,"4.0 out of 5 stars
Super
","
Nice matress feel good to sleep
"
41,Good 👍 worth it,4.0 out of 5 stars,Reviewed in India on 5 June 2024,"4.0 out of 5 stars
Battery good
","
Worth it
"
42,hemant sharma,4.0 out of 5 stars,Reviewed in India on 4 June 2024,"4.0 out of 5 stars
Value for money
","
Good product
"
43,Keyur Rathod,4.0 out of 5 stars,Reviewed in India on 5 June 2024,"4.0 out of 5 stars
Good
","
Comfort
"
44,Parthsarthi Sharma,4.0 out of 5 stars,Reviewed in India on 1 June 2024,"4.0 out of 5 stars
good
","
connectivity problem...
"
45,Megha,4.0 out of 5 stars,Reviewed in India on 18 May 2024,"4.0 out of 5 stars
About product
","
Nice one...afterall it's a boat
"
46,Roshan meena,4.0 out of 5 stars,Reviewed in India on 4 May 2024,"4.0 out of 5 stars
Up to the Mark
","
Battery -  5 ⭐Built -  5 ⭐Music - 4 ⭐Bass - 4 ⭐Gaming mode - 4 ⭐Charging time - 5 ⭐Calling - 5 ⭐Bluetooth - 4 ⭐Overall - ⭐⭐⭐⭐
"
47,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 8 May 2024,"4.0 out of 5 stars
Boat vs Defy
","
I bought this product for my wife. Earlier I had bought Defy Gravity z for my use. I found Defy is much better product in bass and amplifying the sound than boat. Surprisingly the Defy is also manufactured by Boat only. The drawback in Defy is the fit to the ears is not perfect where as thr Boat fit is good.
"
48,Koch,4.0 out of 5 stars,Reviewed in India on 18 May 2024,"4.0 out of 5 stars
Great Product  - Worth for money
","
Good product. I'm using it for 3 months. Liked this product. Price range was also reasonable. 100% worth for money.
"
49,Suganya,4.0 out of 5 stars,Reviewed in India on 23 May 2024,"4.0 out of 5 stars
Cost worth
","
Definitely a worthy product for this price.Charging is good.A standard product.
"
50,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 21 May 2024,"4.0 out of 5 stars
Easy to use.
","
Connects to my Android phone very easily
"
51,Ashish,4.0 out of 5 stars,Reviewed in India on 19 May 2024,"4.0 out of 5 stars
GOOD
","
best sound quality at this price
"
52,Dharani Ramalingam,4.0 out of 5 stars,Reviewed in India on 23 May 2024,"4.0 out of 5 stars
Review
","
nice product and sound quality is good..
"
53,shubham kumar rajwade,4.0 out of 5 stars,Reviewed in India on 23 April 2024,"4.0 out of 5 stars
Value for money
","
Good quality
"
54,PRADEEP VISHWAKARMA,4.0 out of 5 stars,Reviewed in India on 23 April 2024,"4.0 out of 5 stars
Nice
","
Nice
"
55,It is good product and it's good quality battery is good performance,4.0 out of 5 stars,Reviewed in India on 21 April 2024,"4.0 out of 5 stars
Amazing buds
","
Good  evening things are going to
"
56,Vishal Agrawal,4.0 out of 5 stars,Reviewed in India on 31 March 2024,"4.0 out of 5 stars
After 1 month of use
","
I really do like this product because it is one of the best tech product i have ever buy, it is in excellent condition after 1 month and is working very good . The appearance and the sound of the product are amazing. But still i would recommend to buy 190 tws because it may be better at many points .
"
57,Nagendra,4.0 out of 5 stars,Reviewed in India on 15 April 2024,"4.0 out of 5 stars
Product was Good and worth off price...1099 ....In Discount in the sales at 999 and below..
","
These product was buy two times ....the first product was very good and I use these products last 2 years ....All are Good....
"
58,Deepika rajput,4.0 out of 5 stars,Reviewed in India on 25 April 2024,"4.0 out of 5 stars
Good
","
Worth it
"
59,Jeffrin,4.0 out of 5 stars,Reviewed in India on 22 May 2024,"4.0 out of 5 stars
Nice one
","
Good
"
60,vaishnavi shinde,4.0 out of 5 stars,Reviewed in India on 18 May 2024,"4.0 out of 5 stars
Best Airpods
","
Best Airpods so far......... Loved the product.
"
61,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 16 April 2024,"4.0 out of 5 stars
Value for money product
","
Good product with reasonable price.Sound is good and clear. Battery backup is awesome. It's a value for money.
"
62,Gaurav,4.0 out of 5 stars,Reviewed in India on 23 April 2024,"4.0 out of 5 stars
battery life
","
battery life is very poor
"
63,This shoe is so comfortable and meet my expectations. Look is very nice as it shown...,4.0 out of 5 stars,Reviewed in India on 21 April 2024,"4.0 out of 5 stars
Super audio quality
","
I like it the audio quality is worth for money...
"
64,Piyuussshhhh,4.0 out of 5 stars,Reviewed in India on 24 May 2024,"4.0 out of 5 stars
Good product
","
Nice product
"
65,Shahid K.,4.0 out of 5 stars,Reviewed in India on 16 May 2024,"4.0 out of 5 stars
Good product
","
A very good product used this like more than one year get broken by my brother in accedent very well build product you can go for it
"
66,Mhd shamil,3.0 out of 5 stars,Reviewed in India on 27 June 2024,"3.0 out of 5 stars
4dot led light on for case
","
When buds charging time and case open close time the 4 dot LED lights are on position. When completed the charging the lights are off. When consumed the battery.
"
67,mulkanoorikalyan,4.0 out of 5 stars,Reviewed in India on 13 May 2024,"4.0 out of 5 stars
Boat head phones
","
Battery life very good ,I am using lost 1month is very nice experiences, sound quality also good.
"
68,Madhuree dhurve,4.0 out of 5 stars,Reviewed in India on 22 May 2024,"4.0 out of 5 stars
Good
","
Sound quality is good
"
69,Ashik Latheef,4.0 out of 5 stars,Reviewed in India on 7 November 2023,"4.0 out of 5 stars
good product
","
Title: A Reliable Choice for Wireless EarbudsRating: ★★★★☆ (4/5)I recently purchased a pair of true wireless earbuds, and after using them for a while, I can confidently say that they offer a satisfying listening experience with a few minor drawbacks.Pros:1. Sound Quality (★★★★☆): The sound quality of these earbuds is impressive, with clear highs and punchy bass. They provide an immersive audio experience, making music and podcasts enjoyable.2. Comfort (★★★★☆): The earbuds are comfortable to wear for extended periods. They come with multiple ear tip options, ensuring a snug fit and good passive noise isolation.3. Connectivity (★★★★☆): Pairing is straightforward, and the Bluetooth connection remains stable. The earbuds quickly connect to my devices, which is convenient.4. Battery Life (★★★☆☆): The battery life is decent, offering several hours of playback on a single charge. The charging case provides additional hours, making them suitable for daily use.Cons:1. Build Quality (★★★☆☆): While they feel lightweight and compact, the build quality leaves something to be desired. The plastic construction feels a bit flimsy, and I worry about their long-term durability.2. Touch Controls (★★★☆☆): The touch controls can be a bit finicky. Sometimes, accidental touches occur when adjusting the earbuds, which can be frustrating.3. Microphone (★★☆☆☆): The microphone quality is below par, particularly in noisy environments. Call quality suffers, and it can be challenging for others to hear you clearly.4. Limited Features (★★★☆☆): Compared to premium models, these earbuds lack some advanced features like active noise cancellation or advanced app integration.In summary, these true wireless earbuds are a reliable and budget-friendly choice for those seeking good sound quality and comfort. They are a suitable option for music enthusiasts and casual users. However, if you prioritize durability, advanced features, or crystal-clear call quality, you might want to consider higher-end alternatives.
"
70,rakesh,4.0 out of 5 stars,Reviewed in India on 25 April 2024,"4.0 out of 5 stars
Really good product.
","
Nice product in such an amazing price! Battery remains charged for an unexpected period after using for a prolonged period.
"
71,PANKAJ KUMAR,4.0 out of 5 stars,Reviewed in India on 18 May 2024,"4.0 out of 5 stars
Good product
","
Boat Earbuds 141 is a good product. The sound is good. Connects well with Bluetooth.
"
72,Vishal Chaudhary,4.0 out of 5 stars,Reviewed in India on 12 May 2024,"4.0 out of 5 stars
Product is good according to its price
","
I brought this in recently. So let's see how much they are useful and good. Or how much they work i don't know
"
73,prem suthar,4.0 out of 5 stars,Reviewed in India on 24 May 2024,"4.0 out of 5 stars
Best earpods *****
","
Amazing sound  best calling quality
"
74,Lipika Ghosh,4.0 out of 5 stars,Reviewed in India on 22 May 2024,"4.0 out of 5 stars
#review
","
Sound quality good, battery backup not so good
"
75,Subodh mishra,4.0 out of 5 stars,Reviewed in India on 24 May 2024,"4.0 out of 5 stars
Nice and clear voice
","
Nothing
"
76,Kishore,4.0 out of 5 stars,Reviewed in India on 29 March 2024,"4.0 out of 5 stars
Impressive Performance: boAt Airdopes 141 Truly Wireless Earbuds
","
The boAt Airdopes 141 truly wireless earbuds have exceeded my expectations in terms of performance and features. With a remarkable 42-hour playtime, low latency mode for gaming, ENx technology, and IPX4 water resistance, these earbuds offer everything I need for an immersive audio experience.The smooth touch controls make it easy to navigate through music and calls, while the instant wake and pair (IWP) feature ensures hassle-free connectivity. Whether I'm listening to music, gaming, or taking calls, these earbuds deliver crystal-clear sound quality and reliable connectivity.Overall, the boAt Airdopes 141 earbuds are a fantastic choice for anyone looking for high-quality, feature-rich truly wireless earbuds.Pros:Impressive 42-hour playtimeLow latency mode for gamingENx technology for enhanced audioIPX4 water resistanceSmooth touch controlsInstant wake and pair (IWP) featureCons:No noise cancellation
"
77,Mukund Kumar Nayak,4.0 out of 5 stars,Reviewed in India on 29 April 2024,"4.0 out of 5 stars
very good
","
Beautiful product
"
78,Gita kumari,4.0 out of 5 stars,Reviewed in India on 30 April 2024,"4.0 out of 5 stars
Nice product
","
Good performance
"
79,anand,4.0 out of 5 stars,Reviewed in India on 18 May 2024,"4.0 out of 5 stars
Super
","
Good product
"
80,BIBIN KS,4.0 out of 5 stars,Reviewed in India on 16 May 2024,"4.0 out of 5 stars
Its sound good but not satisfyed me
","
I want better
"
81,Kiran kelgandre,4.0 out of 5 stars,Reviewed in India on 14 May 2024,"4.0 out of 5 stars
Good product
","
Good product
"
82,Bulu Das,4.0 out of 5 stars,Reviewed in India on 29 April 2024,"4.0 out of 5 stars
Good
","
Good
"
83,Sri Mohan,4.0 out of 5 stars,Reviewed in India on 16 May 2024,"4.0 out of 5 stars
Never before ever after
",
84,Shankar,4.0 out of 5 stars,Reviewed in India on 16 May 2024,"4.0 out of 5 stars
Sounds
","
Nice👍👍👍
"
85,Debolina Das,4.0 out of 5 stars,Reviewed in India on 1 May 2024,"4.0 out of 5 stars
Sound quality is good 👍
",
86,Suhasish Das,4.0 out of 5 stars,Reviewed in India on 14 May 2024,"4.0 out of 5 stars
good
","
good
"
87,Shreyas Bisan,4.0 out of 5 stars,Reviewed in India on 20 April 2024,"4.0 out of 5 stars
Good for Long time usage.
","
Comes without ANC. Good Product at this price but look for ANC capable ear buds. There is a bit issue with background noise.
"
88,Sandeep Singh,4.0 out of 5 stars,Reviewed in India on 11 May 2024,"4.0 out of 5 stars
Best in buget
","
Overall all good sound .. battery backup is good, fast connect
"
89,varsha,4.0 out of 5 stars,Reviewed in India on 16 May 2024,"4.0 out of 5 stars
Very good at this price
","
Using these earbuds from 6 months. They are good at this price.
"
90,Super,4.0 out of 5 stars,Reviewed in India on 26 April 2024,"4.0 out of 5 stars
I like this product
","
Product is very nice
"
91,Rashmi KG,4.0 out of 5 stars,Reviewed in India on 21 April 2024,"4.0 out of 5 stars
OK Ok Product.
","
Good one. Compared to my last one its not that great hence given 4 Stars.
"
92,Amith K.,4.0 out of 5 stars,Reviewed in India on 27 April 2024,"4.0 out of 5 stars
Good earbuds
","
Nice product
"
93,Shoaib,3.0 out of 5 stars,Reviewed in India on 11 June 2024,"3.0 out of 5 stars
good for budget
","
it's not amazing, but good for ht budget and works fine too. paring with my phone was also very easy.
"
94,Anandu,4.0 out of 5 stars,Reviewed in India on 15 May 2024,"4.0 out of 5 stars
It's good product buds charging time disappointed 😞
","
Fit good,mic Quality okay,sound quality is good comfort 👌
"
95,Ssb,4.0 out of 5 stars,Reviewed in India on 5 May 2024,"4.0 out of 5 stars
How to contact service centre
","
They were working properly till 5-6 months but now the buds aren't getting charged although the case is charged
"
96,Rajesh kumar,4.0 out of 5 stars,Reviewed in India on 20 May 2024,"4.0 out of 5 stars
Good
","
Good
"
97,Aksh,3.0 out of 5 stars,Reviewed in India on 2 June 2024,"3.0 out of 5 stars
Boat 141 black
","
Left earbud failed two timesSent for repair for the thirdI don't know why they people are not replacing the whole product if there is a problem in the budset.
"
98,VISHAL UPADHYAY,4.0 out of 5 stars,Reviewed in India on 11 May 2024,"4.0 out of 5 stars
Good battery life
","




                    The media could not be loaded.
                



Sound quality 🆗
"
99,"vinay- If the magnet gets damaged, can it be changed?",4.0 out of 5 stars,Reviewed in India on 23 May 2024,"4.0 out of 5 stars
I had purchased it the magnet gets damaged then can it be repaired?
","




                    The media could not be loaded.
                


"
